D,G,H,J
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 447, Fundamentals of Optical Networking
,,,
,Student Id,,
,432004511,,
,451001081,,
,411000491,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 448, Wireless & Mobile Networks
,,,
,Student Id,,
,451000121,,
,451003361,,
,451004141,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 455, Introduction to Digital Control
,,,
,Student Id,,
,412003911,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 498, Design project-I
,,,
,Student Id,,
,432004701,,
,431003581,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 499, Design project-II
,,,
,Student Id,,
,411000491,,
,412003911,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 001, Prep. English I
,,,
,Student Id,,
,462004881,,
,451001501,,
,462004491,,
,462005651,,
,461001221,,
,462004511,,
,462004951,,
,462006171,,
,461001881,,
,462005321,,
,462005271,,
,462004921,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 002, Prep. English II
,,,
,Student Id,,
,461001771,,
,461001271,,
,462004651,,
,461000741,,
,461001821,,
,461002031,,
,461000681,,
,461000251,,
,451001191,,
,461000611,,
,461000041,,
,461002821,,
,452006081,,
,461000321,,
,461004111,,
,461004121,,
,461001931,,
,461002551,,
,461002921,,
,462005621,,
,461003161,,
,461002901,,
,461002561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 002, Prep. English II
,,,
,Student Id,,
,461000801,,
,461002741,,
,461004381,,
,461001031,,
,461000921,,
,462005031,,
